Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Distance,Total Descent,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2024-01-29 16:45:00,false,"Urbandale Cycling","21.53","458","00:53:57","146","165","--","--","23.9","39.2","29","76","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:14.71","5","0.0","21.53","76","00:53:42","00:55:43","232","292"
Cycling,2024-01-29 05:52:45,false,"Des Moines Cycling","21.31","496","01:00:45","148","171","--","--","21.0","32.7","78","33","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:31.45","5","0.0","21.31","33","01:00:24","01:06:25","232","292"
Cycling,2024-01-26 16:50:15,false,"Urbandale Cycling","21.47","414","00:55:35","139","174","--","--","23.2","35.7","25","70","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:28.25","5","0.0","21.47","70","00:55:17","00:58:31","232","292"
Cycling,2024-01-26 06:07:45,false,"Des Moines Cycling","21.45","489","01:01:53","145","171","--","--","20.8","30.4","140","146","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:00.44","5","0.0","21.45","146","01:01:35","01:03:14","232","309"
Cycling,2024-01-25 17:11:48,false,"Urbandale Cycling","21.48","526","01:08:17","142","169","--","--","18.9","30.4","29","76","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:11.20","5","0.0","21.48","76","01:07:54","01:11:16","232","292"
Cycling,2024-01-25 05:53:32,false,"Des Moines Cycling","21.24","580","01:10:39","149","181","--","--","18.0","29.6","84","39","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:32.05","5","0.0","21.24","39","01:10:04","01:13:21","232","292"
Cycling,2024-01-24 16:42:21,false,"Urbandale Cycling","21.70","265","01:12:18","102","156","--","--","18.0","33.0","35","82","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:50.45","5","0.0","21.70","82","01:11:43","01:14:35","232","292"
Cycling,2024-01-24 05:26:28,false,"Des Moines Cycling","21.37","498","01:14:28","136","169","--","--","17.2","29.8","114","69","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:27.33","5","0.0","21.37","69","01:13:54","01:15:12","232","292"
Cycling,2024-01-23 17:12:49,false,"Johnston Cycling","19.90","440","01:12:48","133","183","--","--","16.4","26.7","32","58","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","16:25.19","4","0.0","19.90","58","01:11:52","01:17:08","232","274"
Cycling,2024-01-23 05:42:37,false,"Des Moines Cycling","21.32","527","01:16:15","138","160","--","--","16.8","27.0","74","30","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:39.85","5","0.0","21.32","30","01:15:46","01:18:08","232","292"
Cycling,2024-01-22 16:12:40,false,"Urbandale Cycling","21.42","424","01:14:22","127","147","--","--","17.3","30.6","30","77","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:27.28","5","0.0","21.42","77","01:13:43","01:17:03","232","292"
Cycling,2024-01-22 05:25:45,false,"Des Moines Cycling","21.30","536","01:18:33","138","172","--","--","16.3","30.4","123","79","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:17.97","5","0.0","21.30","79","01:17:51","01:22:14","232","292"
Cycling,2024-01-18 16:03:04,false,"Urbandale Cycling","21.64","678","01:33:56","144","168","--","--","13.8","19.6","33","81","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:19.82","5","0.0","21.64","81","01:33:16","01:38:23","232","292"
Cycling,2024-01-18 05:53:30,false,"Des Moines Cycling","21.85","678","01:19:09","150","172","--","--","16.6","26.4","86","43","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:37.74","5","0.0","21.85","43","01:18:46","01:22:34","238","292"
Cycling,2024-01-17 17:11:48,false,"Urbandale Cycling","21.61","617","01:19:09","143","168","--","--","16.4","26.5","40","85","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:15.73","5","0.0","21.61","85","01:18:33","01:21:51","232","292"
Road Cycling,2024-01-09 15:36:13,false,"Urbandale Road Cycling","19.00","437","01:17:10","0","0","--","--","14.8","31.1","153","190","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","-4.0","0:00","No","15:13.32","4","10.0","19.00","190","01:15:56","01:27:26","247","299"
Road Cycling,2024-01-09 05:41:54,false,"Des Moines Road Cycling","19.62","447","01:15:48","0","0","--","--","15.5","32.2","171","156","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","-3.0","0:00","No","14:46.22","4","17.0","19.62","156","01:14:55","01:26:07","254","302"
Cycling,2024-01-08 15:41:24,false,"Urbandale Cycling","21.44","406","00:55:11","136","167","--","--","23.3","34.9","30","77","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:38.06","5","0.0","21.44","77","00:54:50","00:57:35","232","292"
Cycling,2024-01-08 05:31:10,false,"Des Moines Cycling","21.45","511","00:56:36","149","167","--","--","22.7","35.1","73","33","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:49.46","5","0.0","21.45","33","00:56:27","00:57:16","238","292"
Cycling,2024-01-05 16:41:07,false,"Urbandale Cycling","21.39","452","00:53:54","147","176","--","--","23.8","38.1","26","72","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:15.44","5","0.0","21.39","72","00:53:38","00:55:28","232","292"
Cycling,2024-01-05 05:48:23,false,"Des Moines Cycling","21.37","537","00:53:01","159","178","--","--","24.2","36.0","72","124","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:02.04","5","0.0","21.37","124","00:52:51","00:53:18","238","336"
Cycling,2024-01-04 17:07:01,false,"Johnston Cycling","19.99","492","00:48:23","161","181","--","--","24.8","33.5","31","62","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","11:54.80","4","0.0","19.99","62","00:48:07","00:50:44","232","281"
Cycling,2024-01-04 14:50:01,false,"Urbandale Cycling","4.28","88","00:10:29","138","171","--","--","24.5","34.8","11","23","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","10:29.29","1","0.0","4.28","23","00:10:20","00:11:14","274","298"
Cycling,2024-01-04 06:24:32,false,"Des Moines Cycling","16.45","406","00:41:42","158","179","--","--","23.7","34.9","101","66","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:41.18","4","0.0","16.45","66","00:41:39","00:42:35","247","298"
