,activity_type,date,title,distance,calories,avg_hr,max_hr,avg_speed,max_speed,total_ascent,total_descent,moving_time,elapsed_time,max_temp,min_temp,epoch
0,Cycling,2024-01-29 16:45:00,Urbandale Cycling,21.53,458,146,165,23.9,39.2,29,76,00:53:42,00:55:43,0.0,0.0,1706546700
1,Cycling,2024-01-29 05:52:45,Des Moines Cycling,21.31,496,148,171,21.0,32.7,78,33,01:00:24,01:06:25,0.0,0.0,1706507565
2,Cycling,2024-01-26 16:50:15,Urbandale Cycling,21.47,414,139,174,23.2,35.7,25,70,00:55:17,00:58:31,0.0,0.0,1706287815
3,Cycling,2024-01-26 06:07:45,Des Moines Cycling,21.45,489,145,171,20.8,30.4,140,146,01:01:35,01:03:14,0.0,0.0,1706249265
4,Cycling,2024-01-25 17:11:48,Urbandale Cycling,21.48,526,142,169,18.9,30.4,29,76,01:07:54,01:11:16,0.0,0.0,1706202708
5,Cycling,2024-01-25 05:53:32,Des Moines Cycling,21.24,580,149,181,18.0,29.6,84,39,01:10:04,01:13:21,0.0,0.0,1706162012
6,Cycling,2024-01-24 16:42:21,Urbandale Cycling,21.7,265,102,156,18.0,33.0,35,82,01:11:43,01:14:35,0.0,0.0,1706114541
7,Cycling,2024-01-24 05:26:28,Des Moines Cycling,21.37,498,136,169,17.2,29.8,114,69,01:13:54,01:15:12,0.0,0.0,1706073988
8,Cycling,2024-01-23 17:12:49,Johnston Cycling,19.9,440,133,183,16.4,26.7,32,58,01:11:52,01:17:08,0.0,0.0,1706029969
9,Cycling,2024-01-23 05:42:37,Des Moines Cycling,21.32,527,138,160,16.8,27.0,74,30,01:15:46,01:18:08,0.0,0.0,1705988557
10,Cycling,2024-01-22 16:12:40,Urbandale Cycling,21.42,424,127,147,17.3,30.6,30,77,01:13:43,01:17:03,0.0,0.0,1705939960
11,Cycling,2024-01-22 05:25:45,Des Moines Cycling,21.3,536,138,172,16.3,30.4,123,79,01:17:51,01:22:14,0.0,0.0,1705901145
12,Cycling,2024-01-18 16:03:04,Urbandale Cycling,21.64,678,144,168,13.8,19.6,33,81,01:33:16,01:38:23,0.0,0.0,1705593784
13,Cycling,2024-01-18 05:53:30,Des Moines Cycling,21.85,678,150,172,16.6,26.4,86,43,01:18:46,01:22:34,0.0,0.0,1705557210
14,Cycling,2024-01-17 17:11:48,Urbandale Cycling,21.61,617,143,168,16.4,26.5,40,85,01:18:33,01:21:51,0.0,0.0,1705511508
15,Road Cycling,2024-01-09 15:36:13,Urbandale Road Cycling,19.0,437,0,0,14.8,31.1,153,190,01:15:56,01:27:26,10.0,-4.0,1704814573
16,Road Cycling,2024-01-09 05:41:54,Des Moines Road Cycling,19.62,447,0,0,15.5,32.2,171,156,01:14:55,01:26:07,17.0,-3.0,1704778914
17,Cycling,2024-01-08 15:41:24,Urbandale Cycling,21.44,406,136,167,23.3,34.9,30,77,00:54:50,00:57:35,0.0,0.0,1704728484
18,Cycling,2024-01-08 05:31:10,Des Moines Cycling,21.45,511,149,167,22.7,35.1,73,33,00:56:27,00:57:16,0.0,0.0,1704691870
19,Cycling,2024-01-05 16:41:07,Urbandale Cycling,21.39,452,147,176,23.8,38.1,26,72,00:53:38,00:55:28,0.0,0.0,1704472867
20,Cycling,2024-01-05 05:48:23,Des Moines Cycling,21.37,537,159,178,24.2,36.0,72,124,00:52:51,00:53:18,0.0,0.0,1704433703
21,Cycling,2024-01-04 17:07:01,Johnston Cycling,19.99,492,161,181,24.8,33.5,31,62,00:48:07,00:50:44,0.0,0.0,1704388021
22,Cycling,2024-01-04 14:50:01,Urbandale Cycling,4.28,88,138,171,24.5,34.8,11,23,00:10:20,00:11:14,0.0,0.0,1704379801
23,Cycling,2024-01-04 06:24:32,Des Moines Cycling,16.45,406,158,179,23.7,34.9,101,66,00:41:39,00:42:35,0.0,0.0,1704349472
24,Cycling,2024-01-03 16:26:39,Urbandale Cycling,21.31,498,159,188,25.4,36.9,22,68,00:49:44,00:50:53,0.0,0.0,1704299199
25,Cycling,2024-01-03 05:07:13,Des Moines Cycling,20.76,529,165,187,24.8,35.5,75,32,00:50:13,00:50:16,0.0,0.0,1704258433
26,Cycling,2023-12-31 20:22:25,Des Moines Cycling,16.0,239,126,169,25.6,37.0,65,66,00:37:17,00:39:01,0.0,0.0,1704054145
27,Cycling,2023-12-22 15:12:17,Urbandale Cycling,21.4,404,144,172,26.0,40.6,33,76,00:49:09,00:50:18,0.0,0.0,1703257937
28,Cycling,2023-12-22 04:46:36,Des Moines Cycling,20.98,404,142,159,25.1,37.9,73,25,00:49:09,00:50:05,0.0,0.0,1703220396
29,Cycling,2023-12-21 17:23:28,Johnston Cycling,20.12,337,136,176,26.6,36.4,30,59,00:45:14,00:46:19,0.0,0.0,1703179408
30,Cycling,2023-12-21 15:02:55,Urbandale Cycling,4.31,62,117,155,24.7,35.7,14,33,00:10:17,00:11:18,0.0,0.0,1703170975
31,Cycling,2023-12-21 05:55:40,Des Moines Cycling,18.38,298,131,172,24.7,41.5,112,67,00:44:19,00:46:44,0.0,0.0,1703138140
32,Cycling,2023-12-20 15:26:17,Des Moines Cycling,1.49,17,100,122,21.7,32.5,8,--,00:03:52,00:05:36.2,0.0,0.0,1703085977
33,Cycling,2023-12-20 14:13:55,Urbandale Cycling,21.44,400,142,165,26.2,37.5,24,69,00:48:44,00:50:48,0.0,0.0,1703081635
34,Cycling,2023-12-20 05:31:10,Des Moines Cycling,21.38,412,142,171,24.4,36.5,193,155,00:52:22,00:52:39,0.0,0.0,1703050270
35,Cycling,2023-12-19 17:12:10,Johnston Cycling,20.13,407,144,181,25.0,33.4,33,62,00:48:03,00:49:29,0.0,0.0,1703005930
36,Cycling,2023-12-19 14:52:08,Urbandale Cycling,4.3,74,130,162,25.9,40.7,14,30,00:09:46,00:10:43,0.0,0.0,1702997528
37,Cycling,2023-12-19 05:47:04,Des Moines Cycling,18.36,427,155,184,24.0,35.2,119,151,00:45:32,00:46:00,0.0,0.0,1702964824
38,Cycling,2023-12-18 16:46:36,Urbandale Cycling,21.08,445,145,162,23.3,36.5,34,71,00:53:51,00:59:03,0.0,0.0,1702917996
39,Cycling,2023-12-18 05:22:08,Des Moines Cycling,21.3,610,160,176,20.2,28.1,210,169,01:02:34,01:09:03,0.0,0.0,1702876928
40,Cycling,2023-12-15 16:03:30,Urbandale Cycling,21.13,210,111,145,26.9,41.3,31,70,00:46:48,00:49:16,0.0,0.0,1702656210
41,Cycling,2023-12-15 05:34:24,Des Moines Cycling,21.19,403,146,168,25.5,38.7,78,35,00:49:35,00:50:51,0.0,0.0,1702618464
42,Cycling,2023-12-14 04:41:18,Des Moines Cycling,18.4,401,150,174,23.4,37.0,103,59,00:47:02,00:47:52,0.0,0.0,1702528878
43,Cycling,2023-12-13 16:06:47,Des Moines Cycling,15.58,301,143,156,25.7,37.7,49,50,00:35:58,00:40:53,0.0,0.0,1702483607
44,Cycling,2023-12-12 17:14:21,Johnston Cycling,20.08,418,153,179,25.5,33.5,32,62,00:46:59,00:49:18,0.0,0.0,1702401261
45,Cycling,2023-12-12 15:04:21,Urbandale Cycling,4.3,90,140,163,24.1,33.0,13,29,00:10:38,00:10:57,0.0,0.0,1702393461
46,Cycling,2023-12-12 05:30:40,Des Moines Cycling,18.47,387,146,169,23.3,33.9,105,62,00:47:22,00:47:42,0.0,0.0,1702359040
47,Cycling,2023-12-11 16:58:02,Urbandale Cycling,21.05,400,141,167,23.8,37.6,29,68,00:52:47,00:54:49,0.0,0.0,1702313882
48,Cycling,2023-12-11 05:27:09,Des Moines Cycling,21.33,473,151,173,23.9,35.1,227,322,00:53:04,00:53:41,0.0,0.0,1702272429
